"","countyfp","name","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"140","283","Treutlen",41.0075849731664,50123.2151024818,2795,1127757,735265,258995,26292,78450,28755
"141","285","Troup",39.3797579371362,59539.3591600157,35109,14552107,9208790,3371245,471682,1131726,368664
"142","287","Turner",41.4110284167794,61294.2740706936,2956,1548417,1046676,261123,48137,154438,38043
"143","289","Twiggs",41.047953913389,58704.1543845419,2517,1209081,779524,290245,29246,80112,29954
"144","291","Union",49.467754318618,57398.8024082897,6773,2427631,1946712,175436,53362,197017,55104
"145","293","Upson",41.9270765370138,48407.6710095067,3985,991627,667942,252301,10694,35821,24869
"146","295","Walker",41.5465667200732,51756.7478371075,8738,2316230,1983819,137874,29707,112802,52028
"147","297","Walton",38.8388330202232,65603.070203255,27147,10231011,6383751,2489729,303310,806005,248216
"148","299","Ware",41.0496809338521,46173.2407372332,6425,1694002,1190065,324041,24849,121982,33065
"149","301","Warren",42.710594795539,49708.4777247742,1076,389635,232398,117255,9481,20274,10227
"150","303","Washington",41.8927561837456,45816.1049430312,3396,776755,466717,248377,12291,32627,16743
"151","305","Wayne",39.3447593706617,50986.4839859925,8644,2127640,1457700,421974,28250,166259,53457
"152","307","Webster",41.837780149413,53683.1476010944,937,363802,243460,78961,6792,25373,9216
"153","309","Wheeler",40.4772486772487,36582.4831540676,378,94001,58690,26536,666,6208,1901
"154","311","White",43.0340625386232,58414.8212353468,8091,3070552,2298703,350420,71522,276067,73840
"155","313","Whitfield",39.1667950536262,56860.5903031245,23126,9114037,6575482,782068,207050,1349773,199664
"156","315","Wilcox",39.8827319587629,43106.8208762887,776,122625,79880,33183,646,6559,2357
"157","317","Wilkes",43.2605313092979,49869.1238602824,1581,551797,360608,120423,14625,40056,16085
"158","319","Wilkinson",40.4549518569464,47978.2314166579,1454,439316,271125,134798,10376,14540,8477
"159","321","Worth",40.322200099552,53786.3049407218,2009,635927,415018,157098,12616,39349,11846
"160",NA,NA,38.7593243232062,56657.7440215734,5036,2425125,1455310,664365,59428,166745,79277
