"","placekey","brands","city","poi_cbg","name","value","visitor_cbg"
"175","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304034",19,NA
"176","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302012",17,NA
"177","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303011",16,NA
"178","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131350501081",16,NA
"179","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305072",15,NA
"180","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305081",15,NA
"181","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304051",15,NA
"182","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304042",15,NA
"183","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304041",15,NA
"184","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302023",14,NA
"185","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305062",14,NA
"186","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304063",14,NA
"187","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171301041",14,NA
"188","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305071",14,NA
"189","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304032",14,NA
"190","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302032",14,NA
"191","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171301011",14,NA
"192","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304092",14,NA
"193","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303061",13,NA
"194","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302021",13,NA
"195","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306073",13,NA
"196","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305092",13,NA
"197","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304103",12,NA
"198","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303031",12,NA
"199","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303021",12,NA
"200","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303062",11,NA
"201","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305031",11,NA
"202","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304033",11,NA
"203","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171301021",11,NA
"204","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305101",11,NA
"205","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306131",11,NA
"206","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306093",11,NA
"207","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131350501031",11,NA
"208","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"130859702023",11,NA
"209","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304082",10,NA
"210","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302031",10,NA
"211","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306071",10,NA
"212","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"130859702021",10,NA
"213","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304031",10,NA
"214","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304062",10,NA
"215","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305061",10,NA
"216","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303053",9,NA
"217","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306091",9,NA
"218","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302022",9,NA
"219","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306132",9,NA
"220","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306112",9,NA
"221","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303042",9,NA
"222","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305041",9,NA
"223","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302051",9,NA
"224","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131350502102",8,NA
"225","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305051",8,NA
"226","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302053",8,NA
"227","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306123",8,NA
"228","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302013",8,NA
"229","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306051",8,NA
"230","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304061",8,NA
"231","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171301012",8,NA
"232","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302052",8,NA
"233","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305052",7,NA
"234","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306052",7,NA
"235","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"130859701002",7,NA
"236","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306072",7,NA
"237","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171301033",7,NA
"238","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131350501092",6,NA
"239","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131350501082",6,NA
"240","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131350501033",6,NA
"241","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303022",6,NA
"242","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171301051",6,NA
"243","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303023",6,NA
"244","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131350507131",6,NA
"245","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306121",6,NA
"246","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305042",6,NA
"247","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303052",6,NA
"248","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304102",6,NA
"249","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303072",6,NA
"250","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"130570907014",5,NA
"251","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171301031",5,NA
"252","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131350501061",5,NA
"253","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"130859702011",5,NA
"254","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171301032",5,NA
"255","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131390016051",5,NA
"256","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304091",5,NA
"257","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131350502121",5,NA
"258","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171301043",5,NA
"259","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306031",5,NA
"260","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306043",4,NA
"261","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"130859702012",4,NA
"262","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"132930104006",4,NA
"263","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"133119503003",4,NA
"264","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"132579704003",4,NA
"265","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131879602011",4,NA
"266","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131110501001",4,NA
"267","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131390016052",4,NA
"268","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"120990059231",4,NA
"269","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171303041",4,NA
"270","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131210116222",4,NA
"271","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131390016042",4,NA
"272","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306061",4,NA
"273","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171304101",4,NA
"274","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"132270501003",4,NA
"275","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171302011",4,NA
"276","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171306062",4,NA
"277","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"420010316003",4,NA
"278","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131210115043",4,NA
"279","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131879601011",4,NA
"280","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171301042",4,NA
"281","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"130859702014",4,NA
"282","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"131171305032",4,NA
"283","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"480396606022",4,NA
"284","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"130570905011",4,NA
"285","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"132150111001",4,NA
"286","222-225@8gb-pwj-zmk","BJ's Wholesale Club Gas","Cumming",131171305091,"130570901002",4,NA
