"","street_address","latitude","longitude","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"1373","1702 N Martin Luther King Jr Blvd",32.090654,-84.240938,36.7717171717172,42805.3723404255,99,36294,15509,16605,1838,1783,559
"1374","1702 S 7th St",31.951684,-83.782729,37.4595238095238,38791.9210526316,84,25443,9648,13623,81,1814,277
"1375","1703 Atlanta Hwy",34.009925,-83.85351,38.3182156133829,69018.1152416357,269,157485,102945,26835,7478,15864,4363
"1376","1703 N Expressway",33.280734,-84.292426,39.4210227272727,53614.8522727273,176,87255,56399,20627,737,8050,1442
"1377","1704 Abutment Rd",34.737725,-84.96281,38.1426573426573,54446.0212765957,286,110423,78879,5641,2181,22028,1694
"1378","1707 N Forrest St",30.853566,-83.265646,32.1707692307692,35177.0769230769,65,27431,9776,13968,663,2523,501
"1379","1707 W Highway 78",33.72351,-85.13082,39.9810810810811,73585.6756756757,37,23627,14673,3862,3828,781,483
"1380","1708 Atlanta Hwy",34.266647,-83.841774,34.8223684210526,58431.6513157895,152,80110,37382,10357,1851,29021,1499
"1381","1708 Hamilton Rd",33.009194,-85.018514,37.9025078369906,53695.7408637874,319,99433,63545,26178,1928,5892,1890
"1382","1708 Wynnton Rd",32.467401,-84.967802,36.52578125,54671.875,128,64562,34700,21984,1142,3968,2768
"1383","1708 Wynnton Rd",32.467445,-84.967756,37.4666666666667,53133.9047619048,42,26022,13458,10713,259,1208,384
"1384","1709 E 1st St",32.210119,-82.389618,38.6116022099447,41662.144654088,181,48477,31315,11915,247,3964,1036
"1385","1709 S Cobb Dr SE",33.911556,-84.545144,34.7311827956989,54057.0561797753,93,54039,21988,16004,676,13955,1416
"1386","17097 S Highland Ave",31.432278,-84.723545,38.68,30625.6727272727,55,7803,2830,4544,156,168,105
"1387","171 N Lee St",33.038928,-83.938128,42.5389037433155,60694.6918918919,748,291972,201382,54140,8449,21718,6283
"1388","1711 E Shotwell St",30.903788,-84.547776,40.7162162162162,43876.8918918919,37,9386,5230,3497,66,528,65
"1389","17118 Us 280",32.152156,-81.819146,38.8908396946565,46075.5669291339,131,42435,26176,11234,499,3377,1149
"1390","1712 Us 441 S",31.481449,-82.850779,36.0769911504425,41317.6761904762,113,39041,23802,8827,191,5824,397
"1391","1713 Martin Luther King Jr Blvd",33.456552,-81.982879,38.25,35171.9,40,14636,4261,9365,126,594,290
"1392","1714 Turner McCall Blvd SW",34.243293,-85.161576,40.3123176661264,52795.934318555,617,172909,127597,21359,1570,17107,5276
"1393","1715 Charles Hardy Pkwy",33.921023,-84.762583,37.8932059447983,84880.5457771469,1413,383889,252095,74783,8739,36070,12202
"1394","1715 Dean Forest Rd",32.092319,-81.197182,36.8333333333333,59694.5079365079,126,84965,51090,23185,1603,5986,3101
"1395","1715 S Lumpkin Rd",32.421274,-84.950895,36.3980056980057,40790.4207492795,351,117413,59846,44804,1515,7662,3586
"1396","172 Gordon Hwy SW",33.015136,-83.238648,39.1504424778761,49189.92760181,226,43263,25696,15167,380,1390,630
"1397","172 Otis Brown Rd",34.464959,-83.51382,41.9441860465116,50697.8604651163,86,25914,23347,522,63,1607,375
"1398","172 Otis Brown Rd",34.464966,-83.51381,41.0910112359551,52564.0786516854,267,88096,69551,7015,1210,8386,1934
"1399","1720 Claxton Dairy Rd",32.559592,-82.938736,41.7715328467153,51374.2262773723,137,33299,20567,10018,602,1370,742
"1400","1720 Claxton Dairy Rd",32.559747,-82.938558,40.6826989619377,49806.4115523466,289,55876,35073,16932,1210,1647,1014
"1401","1720 Epps Bridge Pkwy",33.913122,-83.446422,35.9733333333333,59267.4390243902,45,26531,16247,5844,1357,2035,1048
"1402","1720 Marietta Blvd NW",33.801589,-84.436686,36.7111111111111,62771.2222222222,36,32774,13833,15391,532,2216,802
"1403","1720 Marietta Blvd NW",33.801701,-84.436498,36.8913907284768,69201.1523178808,151,89263,47820,27265,2267,8704,3207
"1404","1720 Mars Hill Rd NW",33.995877,-84.705864,40.2924063116371,110036.286282306,1014,252263,179064,37147,8805,20039,7208
"1405","1720 Martin Luther King Jr Dr SW",33.750951,-84.443522,38.336974789916,54713.2521367521,238,139916,58815,61963,2825,12366,3947
"1406","1720 Memorial Dr",31.206228,-82.337327,39.9943430656934,47788.978388998,548,205798,135766,44333,5771,15060,4868
"1407","1722 Campbellton Rd SW",33.71116,-84.444353,37.8258823529412,46436.6303030303,170,92485,18545,62463,2093,7273,2111
"1408","1724 Atlanta Hwy",34.265716,-83.842321,35.2241573033708,57628.1685393258,178,103221,58205,8041,2930,31566,2479
"1409","1724 Morrison Pkwy W",34.529648,-84.005932,39.2653298835705,59504.9024707412,773,239911,181322,21809,8872,20776,7132
"1410","1724 Park Hill Dr",34.327624,-83.813402,41.2586206896552,64680.5732758621,232,105953,76318,9361,1920,16499,1855
"1411","1725 Market Place Blvd",34.190495,-84.132306,39.7450381679389,99422.421973408,1441,471536,341726,33838,40524,44076,11372
"1412","1725 Noahs Ark Rd",33.492751,-84.332081,37.9686346863469,69525.8487084871,271,168874,55046,88708,4375,15466,5279
"1413","1725 S Highway 27",33.543799,-85.074389,39.254562920269,56410.5426889107,1041,256775,188891,42239,3984,14730,6931
"1414","1727 E Jackson St",30.85624,-83.953644,45.4181818181818,48771.1818181818,22,9891,7038,2025,228,384,216
"1415","1727 Mars Hill Rd NW",33.996773,-84.706511,40.4546189376443,106862.91025641,866,255531,176164,41417,7439,22900,7611
"1416","1729 S Dixie Hwy",34.743476,-84.972257,37.4773722627737,53220.1627906977,137,43258,30955,1089,145,10494,575
"1417","1736 Candler Rd",33.740401,-84.288364,36.4830687830688,51146.2918918919,189,111356,22474,76108,2231,7871,2672
"1418","1738 Highway 53 W",34.465785,-84.459862,41.9372578241431,67705.1638846737,671,316277,234569,25522,8754,36948,10484
"1419","1739 Buford Hwy",34.162432,-84.115003,39.3349809885932,109323.182509506,526,253575,162783,29194,28096,26647,6855
"1420","1739 Martin Luther King Jr Dr NW",33.751405,-84.443806,37.8847222222222,54498.9722222222,144,91928,33426,39902,4783,10988,2829
"1421","1739 Walton Way",33.47596,-81.997016,37.1555194805195,47929.4966666667,308,144860,63938,65204,1775,8467,5476
"1422","1739 Walton Way",33.47609,-81.997019,37.1512820512821,54158.7692307692,78,45854,27582,14277,661,2145,1189
"1423","174 N Main St",34.080312,-84.29519,39.9491228070175,130329,171,102038,67105,11281,12013,8841,2798
"1424","174 Vinson Rd",32.846432,-83.205691,39.2270833333333,41993.3958333333,48,13114,6794,5799,24,288,209
"1425","1740 Lafayette Pkwy",33.040275,-84.964882,39.5023325062035,60182.492893401,2015,789794,507429,174897,27485,59432,20551
"1426","1740 N Columbia St",33.101153,-83.248722,39.4908571428571,54163.3257142857,175,79082,48404,21550,1492,5938,1698
"1427","1740 N Columbia St",33.101186,-83.248704,41.0029069767442,55728.4319526627,688,157507,100775,44374,3785,4685,3888
"1428","1740 Seven Islands Rd",33.548034,-83.357465,41.0667525773196,67085.1546391753,388,216164,122675,65032,6104,15819,6534
"1429","1741 U.s. 29",34.145131,-83.205922,41.9206030150754,52016.4070351759,199,52050,37844,6670,908,5770,858
"1430","1744 Highway 138 NE",33.669684,-83.9877,38.3007204610951,63557.615942029,694,394476,208904,133739,9878,30504,11451
"1431","1745 Ga 138 SE",33.643504,-84.01551,38.795839112344,66207.7286713287,1442,532081,219699,253945,9686,34703,14048
"1432","1745 Indian Trail Lilburn Rd",33.926236,-84.175355,39.577397260274,72136.4539007092,146,81433,38363,17403,9295,14396,1976
"1433","17473 US Highway 80 E",32.383699,-81.660752,37.9413793103448,54311.0689655172,29,16836,13167,2266,193,754,456
"1434","17478 Us 17",31.555858,-81.421581,49.1387096774194,62382.2580645161,31,8033,6097,1713,0,16,207
"1435","1748 Vernon Rd",33.031133,-85.066741,36.6637362637363,44131.5384615385,91,30685,19212,9225,294,1320,634
"1436","175 Banks Sta",33.466922,-84.444786,40.7319526627219,70977.2366863905,169,98336,57415,29473,1803,6461,3184
"1437","175 Johnny Mercer Blvd",32.01456,-80.986568,43.8510869565217,82739.4076086956,368,92035,65662,15211,3106,5476,2580
"1438","175 Tallassee Rd",33.965489,-83.430041,37.145,57978.6461538462,260,111448,72930,22242,2957,10679,2640
"1439","175 Willow Ln",33.430827,-84.182842,38.2786885245902,63640.9834710744,488,242253,130575,81143,6630,17565,6340
"1440","1750 Bells Ferry Rd",33.993706,-84.549185,36.2743801652893,69098.4049586777,121,69691,38246,15724,4590,9097,2034
"1441","1750 Hudson Bridge Rd",33.502335,-84.244659,39.6933507170795,74535.7942332896,767,336157,127165,159768,13086,24978,11160
"1442","1750 Powder Springs Rd SW",33.904029,-84.606832,34.3,90197,4,4067,1205,2301,18,220,323
"1443","1750 Winder Hwy",33.984439,-83.925861,36.9612656187021,72675.2733144933,2481,963353,552739,215129,51684,119213,24588
"1444","17500 US Highway 301",32.466979,-81.762424,38.1992679355783,45446.7567567568,683,178239,109270,49234,2218,11532,5985
"1445","1751 Newnan Crossing Blvd E",33.377356,-84.753798,39.40771484375,77990.7744140625,1024,224682,142451,54073,7254,15034,5870
"1446","17518 US Highway 80 E",32.384647,-81.660706,38.6990867579909,54263.5286821705,657,96353,69172,18745,922,4443,3071
"1447","1757 Highway 53 W",34.465028,-84.460192,42.2497340425532,63447.7260273973,376,186217,125314,10310,4823,38357,7413
"1448","1759 Rockbridge Rd",33.826336,-84.125077,38.8965299684543,68370.4888178914,317,154845,45551,85425,7734,11427,4708
"1449","1759 State St",31.233109,-82.36994,40.616091954023,43699.2289156627,87,31031,24729,3910,428,1268,696
"1450","176 Ga 57",32.285122,-82.139634,40.8221991701245,44581.4812967581,482,148781,94925,34788,1558,14099,3411
"1451","176 Lakeview Dr",31.035961,-82.762554,38.4508196721311,33892.4736842105,61,9595,7689,1250,0,513,143
"1452","1760 Bells Ferry Rd",33.994173,-84.548587,36.0144,67141.08,125,96374,55616,19894,4748,13108,3008
"1453","1760 Bells Ferry Rd",33.994209,-84.548901,34.8351351351351,60871.7857142857,74,36712,15139,15370,1380,3401,1422
"1454","1765 Buchanan Hwy",33.984047,-85.254661,39.512389380531,51270.8899082569,565,175224,134633,18079,2515,14511,5486
"1455","1765 Jonesboro Rd",33.460244,-84.212159,34.8,51321,4,1636,82,1546,7,1,0
"1456","1768 Highway 41 SE",34.214624,-84.834196,39.5834991222937,62432.241646778,1709,457049,341109,56733,10302,34793,14112
"1457","1770 Old Coffee Road",31.043551,-83.398866,40.1352071005917,66662.5917159763,338,197610,123526,27103,8039,32901,6041
"1458","1775 Murphy Hwy",34.886126,-83.987698,49.7323204419889,64233.059490085,362,150973,123750,10198,3344,10323,3358
"1459","1776 Highway 138 SE",33.643148,-84.013879,37.4920110192837,66058.6169014084,363,227163,89310,110335,4395,16954,6169
"1460","1778 Franklin Pkwy",33.277962,-85.098824,40.8961038961039,51487.8311688312,154,39569,29499,7598,184,1139,1149
"1461","1779 Zebulon Rd",33.193389,-84.286129,41.8313559322034,59088.1942857143,354,135972,86343,37826,2593,6024,3186
"1462","17792 US Highway 80 E",32.387448,-81.663509,38.5204204204204,53009.5106382979,333,79845,57997,14317,888,3598,3045
"1463","178 Southwell Blvd",31.4149,-83.503433,40.4449940708114,62972.131818964,5903,3535043,2259232,547652,121488,508408,98263
"1464","1780 Highway 81",33.77903,-83.852497,39.8145631067961,68634.3834951456,412,164904,111871,33433,3978,10671,4951
