"","street_address","latitude","longitude","wam_age","wam_income","ttl_value","ttl_population","ttl_white","ttl_black","ttl_asian","ttl_hispanic","ttl_other"
"3170","3221 Wrightsboro Rd",33.470062,-82.063708,34.7521739130435,42284.8829268293,414,159477,67142,74586,3271,9781,4697
"3171","3224 Deans Bridge Rd",33.421005,-82.064002,38.0347087378641,52809.7674129353,824,352127,172226,141518,7926,19667,10790
"3172","3224 Vineville Ave",32.852369,-83.676982,36.656,49806.92,75,39800,19930,12876,2560,3707,727
"3173","3224 Vineville Ave",32.852371,-83.677015,40.7666666666667,57672.3333333333,12,8990,5153,3604,184,24,25
"3174","3225 Faceville Hwy",30.75294,-84.64068,43.1665158371041,53683.7305936073,442,161400,114019,32277,2631,9015,3458
"3175","3225 Sylvester Hwy",31.572423,-84.060211,40.3356060606061,46681.064516129,132,48950,26274,15415,399,6020,842
"3176","3226 Athens Hwy",34.074611,-83.558918,40.6763265306122,67090.4775510204,245,71793,54835,8669,2201,4405,1683
"3177","3226 Ga 17",34.626754,-83.604569,43.6327217125382,59388.0959752322,327,147918,118966,11904,4498,7900,4650
"3178","3226 Us 29 S",33.278672,-84.764826,42.376,69916.7466666667,225,66526,52217,8346,1184,3196,1583
"3179","3226 US Highway 80",32.143027,-81.332884,37.814406779661,63868.2612612613,122,78666,49962,18401,1971,5608,2724
"3180","3226 US Highway 80",32.143038,-81.332897,34.6034482758621,69497.5172413793,29,42918,28470,9352,1056,2588,1452
"3181","3229 Peachtree Corners Cir",33.941905,-84.249388,36.0434523809524,68400.6122754491,672,376538,161950,108625,36182,58146,11635
"3182","3229 Veterans Memorial Hwy",33.796449,-84.64827,35.6989795918367,59452.6428571429,98,67811,34274,23181,1058,7557,1741
"3183","3230 Panthersville Rd",33.691395,-84.271529,38.2852941176471,61004.4166666667,340,211400,46546,128782,5751,25488,4833
"3184","3230 Snapfinger Rd",33.686577,-84.201542,40.34,62815.8,135,79447,11816,58884,3174,4065,1508
"3185","3232 Deans Bridge Rd",33.42094,-82.064671,35.5168421052632,44666.1208791209,95,43043,13312,26056,606,1420,1649
"3186","3232 Victory Dr",32.431964,-84.955028,36.1642105263158,46279.3157894737,285,144495,68110,56043,2876,12776,4690
"3187","324 Chatham St",32.291549,-84.064762,38.178947368421,33160.0526315789,38,10361,4116,5699,15,430,101
"3188","324 Russell Pkwy",33.042663,-83.939343,38.35,56933.7142857143,56,35890,20852,7717,461,6246,614
"3189","3240 Peachtree Pkwy",34.083792,-84.162271,40.8602409638554,126816.851979346,581,251993,148464,30122,44184,21664,7559
"3190","3240 S Cobb Dr SE",33.875033,-84.532402,36.5514285714286,78713.0989010989,455,222444,97621,77834,7911,33724,5354
"3191","3241 Camp Creek Pkwy",33.655182,-84.495048,38.2916666666667,79969.6666666667,48,39647,23347,12084,1512,1670,1034
"3192","3241 Camp Creek Pkwy",33.655331,-84.495128,36.3985714285714,60401.6380952381,210,156080,58008,76492,3387,14545,3648
"3193","3242 Auraria Rd",34.489735,-84.020209,38.6235807860262,57346.9737991266,229,55084,47486,2819,499,3313,967
"3194","32428 GA Highway 121 S",32.371408,-82.07096,39.8957142857143,50937.3636363636,70,30261,20134,5969,449,2973,736
"3195","3244 Fayetteville Rd",33.293779,-84.339392,42.7248704663212,54592.7989417989,193,65720,41829,18922,931,3132,906
"3196","3245 Cypress Mill Rd",31.193723,-81.475884,39.4217142857143,52361.0058479532,175,74076,46842,18786,1140,5248,2060
"3197","3245 Cypress Mill Rd",31.193808,-81.475845,41.1798076923077,55004.03,104,45193,30575,9964,405,3208,1041
"3198","3248 Highway 155",33.350223,-84.179719,40.1584967320261,71713.6158940397,306,127213,56183,53687,4623,8188,4532
"3199","3249 Buford Hwy NE",33.841351,-84.329871,35.710298102981,68947.2438356164,738,407690,183268,116364,30465,66370,11223
"3200","325 5th St SE",30.874011,-84.201231,43.819512195122,65532.9756097561,41,17917,12957,2933,695,1223,109
"3201","325 Cabaniss Rd",33.033627,-83.945667,38.4740740740741,34539.962962963,27,6464,3189,3014,11,72,178
"3202","325 Cleveland St",34.871218,-83.956008,50.2820512820513,54888.9391025641,312,89092,76223,4551,928,5750,1640
"3203","325 Cleveland St",34.871367,-83.955826,50.0125654450262,57946.0052356021,191,64584,55028,1887,1335,4941,1393
"3204","325 Ml King Jr Blvd",32.075051,-81.099639,37.5190625,63306.2547770701,640,455525,249771,112979,27528,48534,16713
"3205","325 N Hightower St",32.890838,-84.325426,41.7032258064516,46949.1460674157,93,31026,20211,8741,164,1199,711
"3206","325 Peachtree Pkwy",34.154883,-84.173343,39.7573696145125,112013.469107551,441,224206,165929,13770,20099,19126,5282
"3207","3251 Highway 278 NE",33.60262,-83.865872,39.1360498561841,66403.8596663395,1043,388561,232928,104715,7140,34028,9750
"3208","3251 Highway 5",33.719831,-84.765066,39.3564216778025,69698.5256124722,1347,455069,239932,166477,8082,29818,10760
"3209","3255 Marietta Hwy",34.202684,-84.505992,39.3907608695652,74257.5869565217,184,123053,96443,10511,1695,11852,2552
"3210","3255 Pleasant Hill Rd",33.985028,-84.159757,38.4136752136752,74416.4444444444,117,93118,42745,22616,10256,14079,3422
"3211","3255 Sardis Church Rd",34.078453,-83.919326,39.1969230769231,84791.7096153846,520,268129,173241,41839,15489,31252,6308
"3212","3257 Main St",33.667353,-84.444912,32.2621621621622,45130.7567567568,74,41377,9339,26968,704,2823,1543
"3213","3259 Buford Hwy NE",33.842441,-84.328832,33.4421875,64887.640625,64,41596,10962,14793,1098,14024,719
"3214","326 S Washington St",33.788302,-82.480287,43.1079027355623,50681.2484076433,329,103315,71275,22601,1881,4869,2689
"3215","3260 Donald Lee Hollowell Pkwy NW",33.787381,-84.494461,37.2291304347826,66035.5782608696,234,156310,63683,68363,6246,13993,4025
"3216","3263 Donald Lee Hollowell Pkwy NW",33.787877,-84.493969,38.228085106383,66224.3276595745,235,139332,71797,50447,2953,10574,3561
"3217","3264 Fosters Mill Rd SW",34.167722,-85.343108,42.7185520361991,54993.7209302326,221,77865,62717,7196,1070,4874,2008
"3218","3265 Florence Rd",33.875712,-84.702926,39.0009940357853,75084.3876739563,503,314646,183168,88146,7872,26853,8607
"3219","327 1st Ave",31.950655,-83.451694,38.0355555555556,41830.8222222222,135,31788,20508,7698,93,2940,549
"3220","327 N Tennille Ave",31.044729,-84.878725,41.1500956022945,52320.4951830443,523,211093,134859,55422,3685,11114,6013
"3221","3270 Chattanooga Valley Rd",34.936159,-85.345111,45.0456989247312,47901.119047619,186,46792,41233,2851,309,1294,1105
"3222","3274 Victory Dr",32.430468,-84.953805,38.5255760368664,44496.3309859155,434,189076,98811,70401,2621,11513,5730
"3223","3275 Dahlonega Hwy",34.271461,-84.101299,40.1125498007968,88318.8293172691,502,216656,168820,11617,9429,22512,4278
"3224","3276 Washington Rd",33.666541,-84.465058,31.4142857142857,50424.7142857143,28,23184,5469,12640,1841,2564,670
"3225","3279 Ga 204",32.126369,-81.486346,38.356015037594,49626.6766917293,266,52941,37978,10659,310,2642,1352
"3226","3279 Jodeco Rd",33.48283,-84.206854,38.3732283464567,67444.125984252,127,77772,36789,29796,2795,5887,2505
"3227","328 College Dr",33.052489,-84.152861,39.076404494382,48611.2355212355,267,87391,55366,24915,1147,4017,1946
"3228","328 E 84 Hwy",30.884466,-84.204187,40.9740909090909,46410.0096153846,220,52676,31415,16272,347,3910,732
"3229","328 US Highway 84 E",30.884154,-84.204209,40.6939226519337,49576.5018726592,543,114838,61599,29705,938,20796,1800
"3230","3280 S Cobb Dr SE",33.873842,-84.531251,35.9150837988827,67963.6628571429,179,126547,51986,43701,4336,23198,3326
"3231","3283 Centerville Hwy",33.814397,-84.04173,38.3448979591837,72490.2380952381,147,94114,28922,47157,4604,10696,2735
"3232","3285 Glenwood Rd",33.738428,-84.283889,38.525,42479.5,16,6372,591,5341,25,237,178
"3233","3286 Inner Perimeter Rd",30.882668,-83.287109,36.6793802145411,53506.5786864932,839,287541,178691,71328,5250,25872,6400
"3234","3288 E Golden Isles Hwy",31.932991,-82.68164,48.105,29418.3166666667,60,17521,10812,3944,192,2357,216
"3235","3289 Washington Rd",33.666293,-84.466196,37.616393442623,56533.4098360656,61,32173,7571,20911,913,1858,920
"3236","3289 Washington Rd",33.666319,-84.466195,36.9415384615385,59691.5230769231,65,38119,10007,21322,904,5231,655
"3237","329 14th St NW",33.786421,-84.397969,41.0529411764706,63280.7647058823,68,55110,28935,17484,3339,3859,1493
"3238","329 Huffaker Rd NW",34.282644,-85.24831,40.17375,58197.25,80,27455,19046,3449,852,3239,869
"3239","329 Montgomery St",31.995544,-81.112553,38.28,54323.64,100,50961,26906,17928,761,3001,2365
"3240","3290 Centerville Hwy",33.812403,-84.041465,38.2820512820513,71856.7608069164,351,182996,57179,91541,8110,20523,5643
"3241","3290 Hickory Flat Hwy",34.203209,-84.455044,38.3564285714286,88503.3535714286,280,149634,117128,9877,3564,14926,4139
"3242","3290 New Macland Rd",33.873493,-84.676555,36.1774647887324,71207.9014084507,142,81595,41836,27248,3007,7308,2196
"3243","3293 Main St",33.665859,-84.445566,33.9277777777778,49191.3333333333,72,46056,11338,29002,1412,3026,1278
"3244","3298 Cobb Pkwy NW",34.034927,-84.674977,39.9526595744681,87873.8244680851,376,188466,131013,27281,6602,18228,5342
"3245","3299 Sixes Rd",34.172434,-84.54957,40.6171428571429,94348.8714285714,560,208581,156068,21897,4809,20394,5413
"3246","3299 Sixes Rd",34.172795,-84.549162,42.3857142857143,92993.0738916256,203,87940,68521,6082,2263,9227,1847
"3247","33 Blue Ridge Dr",34.987566,-84.370152,47.9602547770701,51558.4968152866,785,175457,138241,14134,3953,14220,4909
"3248","330 N Broad St",30.880031,-84.207716,39.6675159235669,51243.0921052632,157,45303,27983,11647,455,4268,950
"3249","330 N Main St",32.18126,-82.109753,41.2235632183908,42492.7808219178,174,47063,31473,9857,532,4027,1174
"3250","330 Oak St",32.19528,-83.17673,43.3159689922481,46085.0387858347,645,107403,72613,24696,1848,5905,2341
"3251","330 Oak St",32.195407,-83.176673,43.7971428571429,39993.9578947368,105,24496,16416,6685,69,755,571
"3252","3300 Frey Rd NW",34.033592,-84.579817,38.0878727634195,73396.6492985972,503,336873,219812,62416,16645,28568,9432
"3253","3300 Frey Rd NW",34.033687,-84.579809,37.5326923076923,66234.8565891473,520,295238,204254,46280,10158,26511,8035
"3254","3300 Hamilton Mill Rd",34.093993,-83.938405,37.1313636363636,87036.7272727273,1100,349018,209963,64442,24076,40202,10335
"3255","3300 Highway 81 S",33.546464,-83.946081,37.0965397923875,57132.0678571429,289,111993,49891,50906,1782,6336,3078
"3256","3300 Inner Perimeter Rd",30.882687,-83.285572,35.3141143911439,50232.7971428571,1084,221069,129947,63724,3804,18442,5152
"3257","3300 Post Rd",33.715711,-84.834457,38.7519572953737,67760.1590705987,1124,471613,292067,114333,9471,42727,13015
"3258","3301 US Highway 82 W",31.443849,-83.547317,39.5181494661922,59217.0938628159,562,284569,173790,59999,10426,33739,6615
"3259","3306 Bloomfield Dr",32.803034,-83.699812,32.9747747747748,42178.3333333333,111,35060,9327,23246,408,1533,546
"3260","3309 Holley Rd",32.802087,-83.802672,45.3394904458599,57356.53125,314,78343,52599,19259,991,4202,1292
"3261","331 Newnan Crossing Byp",33.3902,-84.759914,39.2690235690236,74783.7171717172,594,236188,130294,77496,7774,15310,5314
"3262","331 Rockbridge Rd NW",33.88254,-84.161518,37.5682926829268,78302.0243902439,41,30820,13281,5812,6597,4292,838
"3263","331 W Central Ave",31.270683,-83.469366,40.8140243902439,47932.9268292683,164,46594,33478,6931,215,5164,806
"3264","3310 Buford Hwy",34.129363,-84.097834,39.0069958847737,112287.915862069,729,363965,229919,48646,41867,34357,9176
"3265","3310 Ogeechee Rd",32.055025,-81.13593,38.0884615384615,56806.64,104,91884,45100,33425,2262,7050,4047
"3266","3311 Highway 81 W",33.424571,-84.28448,34.9120253164557,65143.4240506329,158,97106,33557,45077,2649,13576,2247
"3267","3311 Jodeco Rd",33.508728,-84.283087,40.7299212598425,81166.6050420168,127,79345,28665,38340,2574,7804,1962
"3268","3311 Mercer University Dr",32.822239,-83.686201,37.5973493975904,45698.3075,415,164285,76766,74513,2895,6178,3933
"3269","3315 Peach Orchard Rd",33.404096,-82.026357,37.1969945355191,53083.0083102493,366,186359,97432,63826,5321,11907,7873
"3270","3315 Peach Orchard Rd",33.404189,-82.026515,38.6348228043143,52037.3767660911,649,241482,126351,89012,3563,13984,8572
"3271","3316 Snapfinger Rd",33.685167,-84.199725,38.8139240506329,62704.0128205128,316,179345,49303,110339,4323,10737,4643
"3272","3317 Lawrenceville Hwy",33.836624,-84.238764,37.8257491675916,68913.8488241881,901,528772,202762,223001,33364,56162,13483
"3273","3319 Glynn Ave",31.179846,-81.472755,42.4152777777778,59947.1452380952,432,163603,117020,29026,2738,11425,3394
"3274","332 Monroe St",34.613169,-83.529878,42.7208695652174,53094.0265486726,230,68780,55568,4591,1221,5603,1797
"3275","3325 Old Milton Pkwy",34.068136,-84.267289,39.2629737609329,97521.8790560472,343,243439,132822,40313,37818,25986,6500
"3276","3329 Ga 100",33.740298,-85.287084,42.9025362318841,49686.7698113208,276,64334,54008,5646,295,2549,1836
"3277","3329 Gillionville Rd",31.58602,-84.237203,40.6902542372881,59672.7711864407,236,69072,34254,30397,1007,2324,1090
"3278","3330 Cobb Pkwy NW Ste 200",34.036204,-84.677046,41.2551724137931,91946.3965517241,58,45106,33379,6468,1403,2750,1106
"3279","3330 Martin Luther King Jr Dr SW",33.754087,-84.497482,35.7704545454545,51128.0615384615,264,167763,50208,89845,3213,20016,4481
"3280","3334 Langley Rd",33.856691,-83.9431,37.588,66625.6260162602,250,131522,70351,36487,6230,14271,4183
"3281","3334 Mineral Bluff Hwy",34.968992,-84.328731,48.8566473988439,56077.8402366864,173,56983,50646,1324,446,3364,1203
"3282","3334 Wrightsboro Rd",33.468473,-82.070078,35.6278551532033,49290.1091954023,359,158930,69735,71130,3864,8257,5944
"3283","3336 Calhoun Falls Hwy",34.06377,-82.672487,44.2315315315315,54467.2162162162,111,48397,38834,5057,568,2735,1203
"3284","3336 Us 41n",31.549836,-83.546328,43.8545454545455,58340.6545454545,55,14806,10528,2801,492,852,133
"3285","3338 Cherokee St NW",34.03458,-84.605234,35.8879545454545,73759.3509174312,440,270080,162036,61153,10907,28874,7110
"3286","3339 US Highway 84",31.298941,-82.248083,53.7,NA,4,1117,1088,29,0,0,0
"3287","3339 US Highway 84",31.29896,-82.248122,43.809375,41843.8928571429,32,10226,8893,589,0,504,240
"3288","334 Cobb Pkwy S",33.943982,-84.517414,38.8080152671756,68182.2054263566,262,186112,102593,42880,9313,26173,5153
"3289","334 US Highway 411 NE",34.58793,-84.70619,41.0683486238532,58216.621559633,436,211752,171739,11154,6069,17486,5304
"3290","3340 Cobb Pkwy SE",33.87066,-84.456765,38.7067307692308,87812.0056179775,728,427277,253059,98773,22431,41627,11387
"3291","3341 Deans Bridge Rd",33.419787,-82.076992,37.4282527881041,55085.1622641509,269,136515,67516,53201,2490,8921,4387
"3292","3342 Highway 81 E",33.434642,-84.043558,35.6681603773585,83041.4316037736,424,121531,63453,45650,2089,7147,3192
"3293","3349 Canton Rd",34.032614,-84.529238,38.0064516129032,82282.6071428571,124,58267,35232,12033,2837,6124,2041
"3294","335 Flint River Rd",33.518251,-84.380952,31.4945945945946,50724.4594594595,74,40870,13895,19557,1578,4434,1406
"3295","335 Flint River Rd",33.518387,-84.381105,34.8071428571429,54768.2142857143,42,23117,2166,16914,616,2903,518
"3296","3350 Murphy Hwy",34.925226,-84.020741,52.1991689750693,56820.4903047091,361,106083,87606,4012,5493,5797,3175
"3297","3350 Thompson Bridge Rd",34.358816,-83.862569,40.2598958333333,67718.71875,192,85358,60800,7411,1014,14300,1833
"3298","3351 Macon Hwy",33.779239,-83.425191,42.1039164490862,69375.3315926893,383,184324,136955,25165,3814,14496,3894
"3299","3353 Camp Rd",34.456955,-84.453187,42.6062703878217,68206.9299014239,2759,1097343,808352,135873,29973,94185,28960
"3300","3356 Lawrenceville Hwy",33.83746,-84.238665,37.5974970202622,63731.8390941597,839,515902,200264,205669,33857,60982,15130
"3301","3356 S Dixie Hwy",34.702033,-84.986115,37.9803738317757,48982.5420560748,107,42333,30571,1230,757,8793,982
"3302","3359 Cobb Pkwy NW",34.035853,-84.685864,40.2087403598972,92131.1413881748,389,203560,145504,31989,4607,15892,5568
"3303","3359 Lawrenceville Suwanee Rd",34.039285,-84.052753,38.0325716845878,90868.5354578097,2236,930346,514027,182560,84005,124324,25430
"3304","336 Georgia 138",33.544283,-84.402785,32.9118556701031,51256.1526315789,194,119739,19915,80858,4795,11027,3144
"3305","336 Joseph E Lowery Blvd NW",33.763752,-84.417855,36.19875,48590.14375,160,63151,16537,39147,3307,2856,1304
"3306","3364 Glenwood Rd",33.738789,-84.280744,37.9460317460317,55255.8245614035,126,75741,14235,52454,1241,4869,2942
"3307","3365 Buena Vista Rd",32.454292,-84.939949,36.9328,38595.328,125,52047,18004,29569,958,2223,1293
"3308","337 8th Ave NE",30.885914,-84.205397,40.4798360655738,48719.3908629442,610,96824,52758,33190,761,8025,2090
"3309","337 Canton Rd",34.214286,-84.145373,39.6739130434783,78470.2924901186,253,129016,96913,8827,6734,12247,4295
"3310","3375 Keith Bridge Rd",34.258838,-84.074274,39.2096256684492,85814.9144385027,187,88056,68330,4473,5300,8094,1859
"3311","3375 Keith Bridge Rd",34.258856,-84.074286,41.2782258064516,85332.45,124,63048,51859,2549,2024,5597,1019
"3312","3379 Milledgeville Rd",33.447706,-82.062481,35.9817307692308,47907.7789473684,104,42215,15493,23095,541,1911,1175
"3313","3380 Highway 40",30.789383,-81.651964,35.6760563380282,62742.7942583732,213,112378,81375,13688,3612,10225,3478
"3314","3383 Buford Dr",34.072506,-83.982687,37.3107567567568,84272.3881081081,1850,663325,375427,129020,56735,83303,18840
"3315","3384 E Ponce de Leon Ave",33.793228,-84.264548,36.7675824175824,63495.510989011,182,96481,29585,48899,8258,7275,2464
"3316","3385 Airport Rd",34.756973,-84.918575,37.3618421052632,47058.8640350877,228,83642,60029,5522,1198,14874,2019
"3317","3385 Fairburn Rd",33.712427,-84.663808,37.391847826087,70947.6510989011,368,215329,81673,111093,3911,13432,5220
"3318","3386 W Currahee St",34.543524,-83.36189,42.6689381933439,54994.3035714286,631,218291,165368,18521,5495,24178,4729
"3319","3390 Airport Rd",34.756467,-84.918996,37.2280701754386,46859.4356725146,342,91609,61980,4240,1637,22291,1461
"3320","340 E College St",33.54097,-85.247635,41.4150684931507,47066.6301369863,73,23021,18285,3164,85,722,765
"3321","340 Whitehall St SW",33.745997,-84.398564,33.3,69882.3333333333,12,8948,4818,1141,1084,1551,354
"3322","3400 Busbee Dr NW",34.03497,-84.574449,38.8081269349845,74534.5848318999,1292,743441,520016,111701,30131,60272,21321
"3323","3400 Busbee Dr NW",34.035187,-84.574227,36.1535398230088,69444.8423423423,226,127131,78257,26730,5487,13750,2907
"3324","3400 Moreland Ave",33.658005,-84.334799,37.4298342541436,66257.4124293785,181,135750,52056,63546,4185,12480,3483
"3325","3400 West Point Rd",33.006957,-85.109754,38,62431.6585365854,82,23940,14802,7075,638,1079,346
"3326","3402 Flat Shoals Rd",33.705283,-84.276341,38.1481927710843,54521.7048192771,170,68417,14431,41650,2258,8484,1594
"3327","3402 Veterans Pkwy",32.495335,-84.979628,38.2959641255605,50574.3766816143,223,103940,55581,37143,1536,5919,3761
"3328","3403 Kingston Hwy NE",34.254656,-85.064905,43.1367847411444,62369.0027855153,367,106997,85793,9657,1623,7504,2420
"3329","3403 Mike Padgett Hwy",33.398992,-82.006257,37.66,57695.7,40,29375,14909,11497,408,1235,1326
"3330","3403 Mike Padgett Hwy",33.399516,-82.006474,37.1412087912088,49490.5824175824,182,82567,39115,36116,1516,3371,2449
"3331","3404 N Henry Blvd",33.532013,-84.198195,36.6349693251534,65866.8490566038,163,109574,44910,47233,3910,9272,4249
"3332","3405 Sugarloaf Pkwy",33.924199,-84.017435,37.1457537154989,79275.0806794055,942,520010,240667,151209,39645,72895,15594
"3333","3408 Chamblee Tucker Rd",33.885889,-84.25381,35.7620689655172,63246.1149425287,87,56434,29642,12993,5083,6531,2185
"3334","3409 Chamblee Tucker Rd",33.885268,-84.253358,35.2606060606061,51342.1515151515,66,50123,19778,21169,1012,6371,1793
"3335","341 E Washington Ave",31.707663,-83.649299,42.1711111111111,52796.2666666667,45,11214,8478,2051,107,464,114
"3336","3412 Mike Padgett Hwy",33.398745,-82.00472,38.5923076923077,48378.0641025641,78,43993,24637,13547,1305,2817,1687
"3337","3415 Medlock Bridge Rd",33.968402,-84.207868,39.3013513513514,83686.9189189189,74,53080,18145,19224,6006,8133,1572
"3338","3418 Mike Padgett Hwy",33.398914,-82.004886,36.6166666666667,51045.5800653595,612,259236,128381,100996,5737,15636,8486
"3339","3420 Jackson Rd",33.292566,-84.190441,41.1435700575816,57713.0806142035,521,205787,123583,64657,2326,10926,4295
"3340","3420 Jackson Rd",33.292571,-84.190301,41.9288311688312,55339.6883116883,385,150500,93449,44256,2157,7451,3187
"3341","3424 Cypress Mill Rd",31.194122,-81.482479,40.8881578947368,53796.65625,228,85707,60266,17743,1360,4391,1947
"3342","3424 Shoal Creek Rd",33.882804,-83.663393,41.1770833333333,68183.0694444444,144,49022,35407,7446,1662,3692,815
"3343","3425 Jackson Rd",33.293019,-84.190157,40.6712918660287,59522.9414634146,209,110424,56949,39622,1952,9082,2819
"3344","3425 Medlock Bridge Rd",33.968948,-84.20842,40.8982935153584,110899.116040956,293,148838,85833,19348,17951,21202,4504
"3345","343 Joseph E Lowery Blvd SW",33.74562,-84.418048,35.8477386934673,58098.3641025641,199,118117,41945,59305,4038,10152,2677
"3346","3431 Ga 20 SE",33.59774,-84.015373,39.6547169811321,72592.2641509434,106,71894,26247,39321,767,3817,1742
"3347","3434 US Highway 411 NE",34.587885,-84.706223,39.0073170731707,56733.5365853659,41,19892,17021,774,100,1425,572
"3348","3434 Wrightsboro Rd",33.467329,-82.079091,36.153036437247,57662.9958158996,247,144008,71312,53981,3020,9542,6153
"3349","3434 Wrightsboro Rd",33.467345,-82.07902,35.075,47055,32,19690,6144,10629,178,2053,686
"3350","3436 E Ponce de Leon Ave",33.795158,-84.263274,39.3777777777778,64416.7777777778,36,15879,6003,4018,2462,3010,386
"3351","3436 E Ponce de Leon Ave",33.795192,-84.263272,40.9285714285714,82321,28,11263,6591,2966,1128,293,285
"3352","3437 Centerville Hwy",33.806126,-84.045027,37.5491017964072,69842.4601226994,334,161613,42012,101184,3662,10356,4399
"3353","3437 Joycliff Rd",32.882792,-83.571092,42.978431372549,45568.9411764706,51,16910,10733,5483,80,390,224
"3354","3437 Us 80 W",32.542995,-83.071082,45.1,47181.5,16,6466,4417,1979,16,20,34
"3355","3438 Us 80 W",32.542497,-83.071084,40.5584183673469,50813.6304909561,392,93916,61378,25328,1372,3790,2048
"3356","3440 US Highway 84",31.302843,-82.246002,40.6020202020202,44430.2552083333,198,36584,29434,4411,219,2061,459
"3357","3441 Mount Zion Pkwy",33.550853,-84.280951,33.9191860465116,57342.2641509434,172,79514,23794,40254,3848,8882,2736
"3358","3445 Webb Bridge Rd",34.076045,-84.259621,40.834628975265,110472.654545455,283,178398,108676,20781,19884,22684,6373
"3359","3446 Mundy Mill Rd",34.222727,-83.862592,38.237306122449,69778.9013104013,2450,916556,604908,122653,39922,126361,22712
"3360","345 Pharr Rd NE",33.83683,-84.376664,39.3842105263158,90983.3888888889,76,50088,31011,11084,3980,2354,1659
"3361","345 W Milledgeville Rd",33.416162,-82.319588,38.7080684596577,56712.0554156171,409,110615,64553,28723,1843,9923,5573
"3362","345 W Milledgeville Rd",33.416331,-82.319556,38.7194346289753,56498.6643109541,283,73337,43184,20881,1370,4595,3307
"3363","3450 Cascade Rd SW",33.72279,-84.500973,39.8329268292683,61954.6524390244,164,111015,41735,51154,1334,14123,2669
"3364","3452 Jodeco Rd",33.48258,-84.202083,39.3460526315789,79424.0855263158,152,109383,49439,44356,4552,7237,3799
"3365","3453 Baker Rd NW",34.075293,-84.649144,37.6864864864865,73058.784067086,481,236857,164253,33704,8065,24422,6413
"3366","3454 University Ave",32.498536,-84.932579,35.1955056179775,61714.2352941177,89,42426,20830,16790,1150,2559,1097
"3367","3455 Peachtree Industrial Blvd",34.004931,-84.172303,38.9244057052298,94351.8193343899,631,372836,183142,74440,58398,45565,11291
"3368","3459 Cobb Pkwy NW",34.038692,-84.691754,39.8027137042062,88399.2305593452,737,329143,226201,52612,9343,31894,9093
"3369","3460 Madison Hwy",30.75461,-83.272948,39.7355723746452,59679.7718120805,2114,1281026,788884,236956,44731,172409,38046
"3370","3465 Jefferson Rd",33.985639,-83.420704,37.806693989071,59766.9217032967,732,286134,191612,51279,7418,28847,6978
"3371","3465 Mercer University Dr",32.820672,-83.69156,38.6911392405063,50009.551948052,158,72363,33152,32050,1197,3243,2721
"3372","3465 Northside Pkwy NW",33.849524,-84.42967,41.3968229954614,97596.0367534456,661,340448,216329,62449,18752,33083,9835
"3373","347 W 3rd St",33.293996,-83.969982,39.8404878048781,50723.443902439,205,86747,50214,29857,870,4270,1536
"3374","3471 Mundy Mill Rd",34.223788,-83.865102,39.5995073891626,68534.197044335,203,158541,107121,22116,5083,20332,3889
"3375","3475 Victory Dr",32.424477,-84.947187,37.7016877637131,40365.5864978903,237,96402,41830,40928,1899,8249,3496
"3376","3479 Memorial Dr",33.752723,-84.270483,38.1539568345324,63607.7111111111,278,135816,44362,77338,4167,6130,3819
"3377","3481 Wrightsboro Rd",33.46655,-82.085261,38.3034482758621,54796.9145728643,203,95268,44600,37203,1938,8671,2856
"3378","3481 Wrightsboro Rd",33.466709,-82.085227,37.6029023746702,55235.581769437,758,350022,175446,135658,5939,21420,11559
"3379","3484 Napier Ave",32.843031,-83.68792,34.6107843137255,39269.0425531915,102,28186,7441,16381,507,3452,405
"3380","349 Brampton Ave",32.411623,-81.768519,34.1914505283381,50368.9343434343,1041,210869,132543,52288,5793,14485,5760
"3381","3490 Centerville Hwy",33.804425,-84.042434,38.1002946954813,70541.1385452746,2036,726604,280388,313469,31758,81767,19222
"3382","3490 Ga 257",32.460719,-83.005579,39.704854368932,43195.2525252525,206,45438,29852,12683,469,1392,1042
"3383","3490 Highway 20 SE",33.59688,-84.014342,40.0163763066202,70446.4098939929,287,135673,57390,64031,2521,8107,3624
"3384","3495 Peachtree Industrial Blvd",34.004928,-84.17091,37.576582278481,83743.5844155844,316,184785,93758,40159,24124,21103,5641
"3385","3495 Satellite Blvd",33.962424,-84.132882,35.7597774244833,73381.5138662316,629,520589,235198,126574,58095,86570,14152
"3386","3496 Hwy. 138 East",33.600334,-84.100956,40.3290909090909,68058.5563636364,275,148018,56744,69646,3848,13770,4010
"3387","3499 Savannah Hwy",31.648558,-81.855709,38.2046272493573,50694.9892761394,389,147764,92183,37488,1958,11934,4201
"3388","35 E Marion St",32.559083,-84.093007,40.8522202486678,54491.7708703375,563,278216,170745,60782,6563,32640,7486
"3389","35 Highway 138 SW",33.541801,-84.391753,34.7562962962963,54748.7185185185,135,101667,20518,69671,3047,5890,2541
"3390","35 Montague St",31.651489,-81.393009,41.4870503597122,71011.9837814767,2363,1572882,1079618,222731,53760,168919,47854
"3391","35 Omega Eldorado Rd",31.356976,-83.48802,40.9694202898551,63203.889380531,690,425360,302342,58767,9618,42396,12237
"3392","35 Tifton Eldorado Rd",31.357463,-83.487724,41.4639605046626,70778.0401337793,1823,1216022,838310,134918,46452,161774,34568
"3393","350 E Main St",32.59839,-82.32731,38.5671232876712,43394.2946175637,365,64641,39710,18211,400,4798,1522
