year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2019,7,3,co,US,1068788,310749,358167,208859
2019,7,3,ct,US,554282,174800,222841,125921
2019,7,3,dc,US,144508,63339,0,0
2019,7,3,de,US,180775,61127,65583,38659
2019,7,3,fl,US,4950209,1379063,1715701,977750
2019,7,3,ga,US,2551280,707970,925771,521422
2019,7,3,gu,US,1276,721,751,574
2019,7,3,hi,US,303515,75594,78250,49482
2019,7,3,ia,US,687978,220704,294930,165837
2019,7,3,id,US,272522,86213,108891,62133
2019,7,3,il,US,2603393,826079,1036504,601782
2019,7,3,in,US,1310168,422188,546016,315639
2019,7,3,ks,US,649511,202218,277184,154670
2019,7,3,ky,US,879682,296847,369770,216071
2019,7,3,la,US,1060407,299973,410621,228527
2019,7,3,ma,US,977917,315567,367212,213072
2019,7,3,mb,CA,11538,8653,11538,8653
2019,7,3,md,US,1056961,340816,404340,238455
2019,7,3,me,US,186931,62538,72448,42286
2019,7,3,mi,US,1776188,578168,738161,431619
2019,7,3,mn,US,938903,324514,383309,232491
2019,7,3,mo,US,1430159,430339,554167,313475
2019,7,3,mp,US,579,419,577,419
2019,7,3,ms,US,716470,205532,283644,157473
2019,7,3,mt,US,147258,49005,53899,32268
2019,7,3,nb,CA,6535,4772,6535,4772
2019,7,3,nc,US,2224283,676771,871789,498404
2019,7,3,nd,US,142119,50854,60527,36528
2019,7,3,ne,US,449127,141364,190797,106964
2019,7,3,nh,US,212304,71029,83335,47540
2019,7,3,nj,US,1841100,561601,717051,403140
2019,7,3,nl,CA,3912,2834,3912,2834
2019,7,3,nm,US,278483,91491,107593,63038
2019,7,3,ns,CA,8732,6364,8732,6364
2019,7,3,nt,CA,244,196,244,196
2019,7,3,nu,CA,126,86,126,86
2019,7,3,nv,US,719465,185362,200117,120583
2019,7,3,ny,US,3400611,1053874,1239301,730055
2019,7,3,oh,US,2301615,749057,968317,561903
2019,7,3,ok,US,952534,271811,380035,208232
2019,7,3,on,CA,165491,119704,165491,119704
2019,7,3,or,US,648272,206984,235605,143269
2019,7,3,pa,US,2080523,696645,859691,508462
2019,7,3,pe,CA,1293,947,1293,947
2019,7,3,pr,US,106745,55403,66512,45493
2019,7,3,qc,CA,69323,50977,69323,50977
2019,7,3,ri,US,169734,56246,63433,36220
2019,7,3,sc,US,1199049,357460,437946,244973
2019,7,3,sd,US,160309,54918,64650,37864
2019,7,3,sk,CA,10034,7849,10034,7849
2019,7,3,tn,US,1566588,467348,589654,336455
2019,7,3,tx,US,6570999,1848292,2477245,1400892
2019,7,3,ut,US,540392,159760,205509,114541
2019,7,3,va,US,1498677,464045,584994,335963
2019,7,3,vi,US,203,143,0,0
2019,7,3,vt,US,72324,27143,31067,18926
2019,7,3,wa,US,1115692,354978,418543,256512
2019,7,3,wi,US,1033477,346331,438420,258180
2019,7,3,wv,US,294749,107275,129762,78473
2019,7,3,wy,US,95669,34092,35699,21341
2019,7,3,yt,CA,250,209,250,209
2019,7,4,ALL,"",51337109,17733194,21883012,13295324
2019,7,4,ALL_CA,CA,374624,278925,374624,278925
2019,7,4,ALL_US,US,50962485,17454670,21508388,13016399
2019,7,4,ab,CA,43498,34294,43498,34294
2019,7,4,ak,US,75143,29274,29364,19053
2019,7,4,al,US,943762,339722,435042,258071
2019,7,4,ar,US,538524,194122,254737,148835
2019,7,4,as,US,37,34,30,28
2019,7,4,az,US,919861,312319,382085,230881
2019,7,4,bc,CA,50746,39966,50746,39966
2019,7,4,ca,US,5325013,1699738,2044004,1243058
2019,7,4,co,US,933087,310889,337156,202015
2019,7,4,ct,US,405883,161192,193534,119827
2019,7,4,dc,US,134110,52119,0,0
2019,7,4,de,US,152540,60140,59922,37843
2019,7,4,fl,US,4076000,1319078,1505945,917334
2019,7,4,ga,US,1977112,659576,816169,487030
2019,7,4,gu,US,1201,683,749,551
2019,7,4,hi,US,271814,75122,76595,48004
2019,7,4,ia,US,546678,197583,260050,148950
2019,7,4,id,US,225668,79374,96193,54896
2019,7,4,il,US,2073699,753263,917537,552086
2019,7,4,in,US,1049355,375449,476755,282093
2019,7,4,ks,US,498961,192502,249859,150988
2019,7,4,ky,US,701948,267071,327389,198603
2019,7,4,la,US,778967,273927,349998,209501
2019,7,4,ma,US,737667,285424,310225,195386
2019,7,4,mb,CA,11441,8561,11441,8561
2019,7,4,md,US,863816,337017,372144,235630
2019,7,4,me,US,154827,60335,63385,39235
2019,7,4,mi,US,1409523,556053,660729,408562
2019,7,4,mn,US,729966,289782,323853,202583
2019,7,4,mo,US,1127118,406142,503356,299626
2019,7,4,mp,US,561,400,560,399
2019,7,4,ms,US,519974,188684,248885,146208
2019,7,4,mt,US,120517,44518,47666,28655
2019,7,4,nb,CA,6604,4785,6604,4785
2019,7,4,nc,US,1773445,657098,798582,484092
2019,7,4,nd,US,94473,38299,44630,27659
2019,7,4,ne,US,333783,127451,165451,98324
2019,7,4,nh,US,173456,66823,72032,44174
2019,7,4,nj,US,1457939,519398,603447,368395
2019,7,4,nl,CA,3824,2829,3824,2829
2019,7,4,nm,US,228929,85189,95092,57197
2019,7,4,ns,CA,8528,6229,8528,6229
2019,7,4,nt,CA,278,203,278,203
2019,7,4,nu,CA,142,93,142,93
2019,7,4,nv,US,676289,179289,186487,112111
2019,7,4,ny,US,2635251,971497,1066452,679148
2019,7,4,oh,US,1810484,684832,868455,522993
2019,7,4,ok,US,738372,245680,332284,187755
2019,7,4,on,CA,167522,121219,167522,121219
2019,7,4,or,US,539478,191002,215712,129652
2019,7,4,pa,US,1661089,672625,775587,491911
2019,7,4,pe,CA,1297,932,1297,932
2019,7,4,pr,US,86347,50471,60129,43163
2019,7,4,qc,CA,70292,51697,70292,51697
2019,7,4,ri,US,136365,53934,55114,34682
2019,7,4,sc,US,950545,346441,392841,234588
2019,7,4,sd,US,127017,50761,55585,33988
2019,7,4,sk,CA,10173,7898,10173,7898
2019,7,4,tn,US,1212238,428823,521985,311161
2019,7,4,tx,US,5223320,1680824,2176553,1270186
2019,7,4,ut,US,459268,151500,190374,106512
